rkm_start,receiver,cumulative_survival_est,SE_cum,LCL_cum,UCL_cum,count,rel_date,rkm_end,reach_start,reach_end,reach_survival_est,SE_reach,LCL_reach,UCL_reach
222.05,Knights_RST,0.153,0.017,0.12,0.19,66,2022-03-02,215.18,Knights_RST,Abv_FremontWeir,0.998,0.002,0.981,1
215.18,Abv_FremontWeir,0.151,0.017,0.12,0.19,58,2022-03-02,205.76,Abv_FremontWeir,SacFeather,0.998,0.002,0.985,1
205.76,SacFeather,0.149,0.017,0.12,0.19,61,2022-03-02,191.92,SacFeather,Blw_Elkhorn_GS1,0.996,0.002,0.989,0.999
191.92,Blw_Elkhorn_GS1,0.142,0.017,0.11,0.18,61,2022-03-02,172,Blw_Elkhorn_GS1,TowerBridge,0.994,0.002,0.987,0.997
172,TowerBridge,0.126,0.016,0.1,0.16,54,2022-03-02,166.822,TowerBridge,SacTrawl,0.985,0.007,0.961,0.994
166.8225,SacTrawl,0.116,0.015,0.09,0.15,50,2022-03-02,NA,NA,NA,NA,NA,NA,NA
152.438,Freeport,0.107,0.015,0.08,0.14,46,2022-03-02,147.668,Freeport,Abv_Clarksburg,0.991,0.007,0.964,0.998
147.668,Abv_Clarksburg,0.102,0.015,0.08,0.14,44,2022-03-02,138.228,Abv_Clarksburg,Hood,0.995,0.003,0.981,0.999
138.228,Hood,0.098,0.014,0.07,0.13,42,2022-03-02,71.486,Hood,Chipps,0.993,0.002,0.989,0.996
71.486,Chipps,0.063,0.012,0.04,0.09,26,2022-03-02,52.144,Chipps,Benicia,0.994,0.004,0.981,0.998
52.144,Benicia,0.056,0.011,0.04,0.08,24,2022-03-02,1.71,Benicia,GoldenGateE,1,0,1,1
1.71,GoldenGateE,0.056,0.011,0.04,0.08,11,2022-03-02,NA,NA,NA,NA,NA,NA,NA
