Date,Facility,nfish,Expanded.Salvage,Loss,cumLoss
2022-05-01,CVP,0,0,0,20.56
2022-05-01,SWP,0,0,0,52.480000000000004
2022-05-02,CVP,0,0,0,20.56
2022-05-02,SWP,0,0,0,52.480000000000004
2022-05-03,CVP,0,0,0,20.56
2022-05-03,SWP,0,0,0,52.480000000000004
2022-05-04,CVP,0,0,0,20.56
2022-05-04,SWP,0,0,0,52.480000000000004
2022-05-05,CVP,0,0,0,20.56
2022-05-05,SWP,0,0,0,52.480000000000004
2022-05-06,CVP,0,0,0,20.56
2022-05-06,SWP,0,0,0,52.480000000000004
2022-05-07,CVP,0,0,0,20.56
2022-05-07,SWP,0,0,0,52.480000000000004
2022-05-08,CVP,0,0,0,20.56
2022-05-08,SWP,0,0,0,52.480000000000004
2022-05-09,CVP,0,0,0,20.56
2022-05-09,SWP,0,0,0,52.480000000000004
2022-05-10,CVP,0,0,0,20.56
2022-05-10,SWP,0,0,0,52.480000000000004
2022-05-11,CVP,0,0,0,20.56
2022-05-11,SWP,0,0,0,52.480000000000004
2022-05-12,CVP,0,0,0,20.56
2022-05-12,SWP,0,0,0,52.480000000000004
2022-05-13,CVP,0,0,0,20.56
2022-05-13,SWP,0,0,0,52.480000000000004
2022-05-14,CVP,0,0,0,20.56
2022-05-14,SWP,0,0,0,52.480000000000004
2022-05-15,CVP,0,0,0,20.56
2022-05-15,SWP,0,0,0,52.480000000000004
2022-05-16,CVP,0,0,0,20.56
2022-05-16,SWP,0,0,0,52.480000000000004
2022-05-17,CVP,0,0,0,20.56
2022-05-17,SWP,0,0,0,52.480000000000004
2022-05-18,CVP,0,0,0,20.56
2022-05-18,SWP,0,0,0,52.480000000000004
2022-05-19,CVP,0,0,0,20.56
2022-05-19,SWP,0,0,0,52.480000000000004
2022-05-20,CVP,0,0,0,20.56
2022-05-20,SWP,0,0,0,52.480000000000004
2022-05-21,CVP,0,0,0,20.56
2022-05-21,SWP,0,0,0,52.480000000000004
2022-05-22,CVP,0,0,0,20.56
2022-05-22,SWP,0,0,0,52.480000000000004
2022-05-23,CVP,0,0,0,20.56
2022-05-23,SWP,0,0,0,52.480000000000004
2022-05-24,CVP,0,0,0,20.56
2022-05-24,SWP,0,0,0,52.480000000000004
2022-05-25,CVP,0,0,0,20.56
2022-05-25,SWP,0,0,0,52.480000000000004
2022-05-26,CVP,0,0,0,20.56
2022-05-26,SWP,0,0,0,52.480000000000004
2022-05-27,CVP,0,0,0,20.56
2022-05-27,SWP,0,0,0,52.480000000000004
2022-05-28,CVP,0,0,0,20.56
2022-05-28,SWP,0,0,0,52.480000000000004
2022-05-29,CVP,0,0,0,20.56
2022-05-29,SWP,0,0,0,52.480000000000004
2022-05-30,CVP,0,0,0,20.56
2022-05-30,SWP,0,0,0,52.480000000000004
2022-05-31,CVP,0,0,0,20.56
2022-05-31,SWP,0,0,0,52.480000000000004
2022-06-01,CVP,0,0,0,20.56
2022-06-01,SWP,0,0,0,52.480000000000004
2022-06-02,CVP,0,0,0,20.56
2022-06-02,SWP,0,0,0,52.480000000000004
2022-06-03,CVP,0,0,0,20.56
2022-06-03,SWP,0,0,0,52.480000000000004
2022-06-04,CVP,0,0,0,20.56
2022-06-04,SWP,0,0,0,52.480000000000004
2022-06-05,CVP,0,0,0,20.56
2022-06-05,SWP,0,0,0,52.480000000000004
2022-06-06,CVP,0,0,0,20.56
2022-06-06,SWP,0,0,0,52.480000000000004
2022-06-07,CVP,0,0,0,20.56
2022-06-07,SWP,0,0,0,52.480000000000004
2022-06-08,CVP,0,0,0,20.56
2022-06-08,SWP,0,0,0,52.480000000000004
2022-06-09,CVP,0,0,0,20.56
2022-06-09,SWP,0,0,0,52.480000000000004
2022-06-10,CVP,0,0,0,20.56
2022-06-10,SWP,0,0,0,52.480000000000004
2022-06-11,CVP,0,0,0,20.56
2022-06-11,SWP,0,0,0,52.480000000000004
2022-06-12,CVP,0,0,0,20.56
