date_yyyy_mm_dd,brood_year,population,estimated_passage,length,length_min,length_max,primary_source
2021-12-05,2021,Winter Chinook,140,NA,55,63,USFWS Biweekly20211203-20211216_revised.pdf
2021-12-06,2021,Winter Chinook,186,NA,50,82,USFWS Biweekly20211203-20211216_revised.pdf
2021-12-07,2021,Winter Chinook,114,NA,58,85,USFWS Biweekly20211203-20211216_revised.pdf
2021-12-08,2021,Winter Chinook,88,NA,66,75,USFWS Biweekly20211203-20211216_revised.pdf
2021-12-09,2021,Winter Chinook,29,78,78,78,USFWS Biweekly20211203-20211216_revised.pdf
2021-12-10,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20211203-20211216_revised.pdf
2021-12-11,2021,Winter Chinook,360,NA,64,85,USFWS Biweekly20211203-20211216_revised.pdf
2021-12-12,2021,Winter Chinook,32,70,70,70,USFWS Biweekly20211203-20211216_revised.pdf
2021-12-13,2021,Winter Chinook,522,NA,72,79,USFWS Biweekly20211203-20211216_revised.pdf
2021-12-14,2021,Winter Chinook,2566,NA,59,80,USFWS Biweekly20211203-20211216_revised.pdf
2021-12-15,2021,Winter Chinook,1676,NA,64,95,USFWS Biweekly20211203-20211216_revised.pdf
2021-12-16,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20211203-20211216_revised.pdf
2021-12-17,2021,Winter Chinook,1527,NA,60,93,USFWS Biweekly20211217-20211231.pdf
2021-12-18,2021,Winter Chinook,893,NA,54,88,USFWS Biweekly20211217-20211231.pdf
2021-12-19,2021,Winter Chinook,530,NA,52,101,USFWS Biweekly20211217-20211231.pdf
2021-12-20,2021,Winter Chinook,71,NA,57,86,USFWS Biweekly20211217-20211231.pdf
2021-12-21,2021,Winter Chinook,148,NA,69,95,USFWS Biweekly20211217-20211231.pdf
2021-12-22,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20211217-20211231.pdf
2021-12-23,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20211217-20211231.pdf
2021-12-24,2021,Winter Chinook,1172,NA,71,85,USFWS Biweekly20211217-20211231.pdf
2021-12-25,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20211217-20211231.pdf
2021-12-26,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20211217-20211231.pdf
2021-12-27,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20211217-20211231.pdf
2021-12-28,2021,Winter Chinook,224,NA,59,73,USFWS Biweekly20211217-20211231.pdf
2021-12-29,2021,Winter Chinook,157,NA,69,82,USFWS Biweekly20211217-20211231.pdf
2021-12-30,2021,Winter Chinook,51,92,92,92,USFWS Biweekly20211217-20211231.pdf
2021-12-31,2021,Winter Chinook,43,79,79,79,USFWS Biweekly20211217-20211231.pdf
2022-01-01,2021,Winter Chinook,183,NA,70,80,USFWS Biweekly20220101-20220114.pdf
2022-01-02,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220101-20220114.pdf
2022-01-03,2021,Winter Chinook,190,NA,71,75,USFWS Biweekly20220101-20220114.pdf
2022-01-04,2021,Winter Chinook,371,NA,86,102,USFWS Biweekly20220101-20220114.pdf
2022-01-05,2021,Winter Chinook,204,68,68,68,USFWS Biweekly20220101-20220114.pdf
2022-01-06,2021,Winter Chinook,46,98,98,98,USFWS Biweekly20220101-20220114.pdf
2022-01-07,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220101-20220114.pdf
2022-01-08,2021,Winter Chinook,95,85,85,85,USFWS Biweekly20220101-20220114.pdf
2022-01-09,2021,Winter Chinook,46,115,115,115,USFWS Biweekly20220101-20220114.pdf
2022-01-10,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220101-20220114.pdf
2022-01-11,2021,Winter Chinook,167,NA,60,82,USFWS Biweekly20220101-20220114.pdf
2022-01-12,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220101-20220114.pdf
