date_yyyy_mm_dd,brood_year,population,estimated_passage,length,length_min,length_max,primary_source
2022-05-08,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220507-20220520.csv
2022-05-09,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220507-20220520.csv
2022-05-10,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220507-20220520.csv
2022-05-11,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220507-20220520.csv
2022-05-12,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220507-20220520.csv
2022-05-13,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220507-20220520.csv
2022-05-14,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220507-20220520.csv
2022-05-15,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220507-20220520.csv
2022-05-16,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220507-20220520.csv
2022-05-17,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220507-20220520.csv
2022-05-18,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220507-20220520.csv
2022-05-19,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220507-20220520.csv
2022-05-20,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220507-20220520.csv
2022-05-21,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220521-20220603.csv
2022-05-22,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220521-20220603.csv
2022-05-23,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220521-20220603.csv
2022-05-24,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220521-20220603.csv
2022-05-25,2021,Winter Chinook,30,147,147,147,USFWS Biweekly20220521-20220603.csv
2022-05-26,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220521-20220603.csv
2022-05-27,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220521-20220603.csv
2022-05-28,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220521-20220603.csv
2022-05-29,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220521-20220603.csv
2022-05-30,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20220521-20220603.csv
2022-05-31,2021,Winter Chinook,NA,NA,NA,NA,USFWS Biweekly20220521-20220603.csv
2022-06-01,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220521-20220603.csv
2022-06-02,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220521-20220603.csv
2022-06-03,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220521-20220603.csv
2022-06-04,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220604-20220617.csv
2022-06-05,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220604-20220617.csv
2022-06-06,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220604-20220617.csv
2022-06-07,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220604-20220617.csv
2022-06-08,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220604-20220617.csv
2022-06-09,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220604-20220617.csv
2022-06-10,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220604-20220617.csv
2022-06-11,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220604-20220617.csv
2022-06-12,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220604-20220617.csv
2022-06-13,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220604-20220617.csv
2022-06-14,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220604-20220617.csv
2022-06-15,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220604-20220617.csv
2022-06-16,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220604-20220617.csv
2022-06-17,2021,Winter Chinook,0,NA,NA,NA,USFWS Biweekly20220604-20220617.csv
